collection,cumulativeTradeVolumeETH,dailyMaxSalePrice,dailyMinSalePrice,dailyTradeVolumeETH,dailyTradedItemCount,transaction_date,dailyMinSalePrice_USD,dailyMaxSalePrice_USD,DailyTradeVolumeUSD
Sandbox's LANDs,4061.559820962592,1.88,1.24,35.2589998,21,2022-08-27,1852.4819510059535,2808.601667654188,52674.72640324397
Sandbox's LANDs,4026.300821162592,1.8,0.8,26.621,20,2022-08-26,1203.3569976117406,2707.5532446264165,40043.20829177768
NFT Worlds,2749.831823120839,0.9875,0.568,14.983399,20,2022-08-26,854.3834683043357,1485.3937939269922,22537.972543323445
Cryptovoxels Parcel,225.15575137185724,0.6,0.3,1.964159,5,2022-08-26,451.2588741044027,902.5177482088054,2954.4805963400986
Decentraland LAND,542.07903998999,2.5,1.15,4.95384,3,2022-08-26,1729.8256840668769,3760.490617536689,7451.54753631118
NFT Worlds,2734.8484241208394,1.3,0.619,6.6379,9,2022-08-25,1048.2184868728625,2201.4281630609385,11240.66154121708
Sandbox's LANDs,3999.679821162592,1.81,1.3,17.43994,12,2022-08-25,2201.4281630609385,3065.065365492537,29532.90390622537
Decentraland LAND,537.12519998999,1.93,1.93,1.93,1,2022-08-25,3268.2741190058546,3268.2741190058546,3268.2741190058546
Decentraland LAND,535.19519998999,1.944,1.15,7.04404999999,4,2022-08-24,1907.887673153195,3225.1596840085317,11686.309707874509
Sandbox's LANDs,3982.239881162592,2.2097777777777776,1.25,87.41,47,2022-08-24,2073.79094907956,3666.093724026159,145016.05348723545
NFT Worlds,2728.210524120839,1.44,0.4883,17.2953,25,2022-08-24,810.1056963484393,2389.007173339653,28693.46928129257
Somnium Space Land,128.07499789,1.2,1.2,2.4,2,2022-08-24,1990.8393111163773,1990.8393111163773,3981.6786222327546
Cryptovoxels Parcel,223.19159237185724,1.36,0.3999,2.1899,3,2022-08-24,663.4472004295328,2256.2845525985613,3633.115839511463
Sandbox's LANDs,3894.829881162592,1.89,1.19,32.5115,24,2022-08-23,1981.1653417357415,3146.5567192273547,54126.60252759796
Decentraland LAND,528.15114999,1.65,1.65,1.65,1,2022-08-23,2746.99396123023,2746.99396123023,2746.99396123023
NFT Worlds,2710.9152241208394,0.94,0.4362,10.2121,16,2022-08-23,726.2053126597737,1564.9541354887372,17001.561837260142
Cryptovoxels Parcel,221.00169237185725,0.6,0.266,4.946,12,2022-08-23,442.8487234468129,998.906894992811,8234.322504390739
NFT Worlds,2700.703124120839,0.65,0.55,7.185,12,2022-08-22,892.8373743783945,1055.1714424471936,11663.702790743208
Decentraland LAND,526.50114999,1.99,1.5,6.72,4,2022-08-22,2435.011021031985,3230.4479545691,10908.849374223291
Sandbox's LANDs,3862.318381162592,1.75,1.0501,44.1780998,33,2022-08-22,1704.6700487904584,2840.8461912039825,71716.10660083395
Somnium Space Land,125.67499789,4.2,0.65,7.85,3,2022-08-22,1055.1714424471936,6818.030858889559,12743.22434340072
Cryptovoxels Parcel,216.05569237185725,1.5,0.24,2.759,4,2022-08-22,389.6017633651176,2435.011021031985,4478.796938018164
Sandbox's LANDs,3818.140281362592,2.24,1.0,21.621,15,2022-08-21,1621.251541897395,3631.603453850165,35053.07958736358
Decentraland LAND,519.78114999,2.2,1.55,7.64,4,2022-08-21,2512.9398899409625,3566.7533921742697,12386.361780096098
NFT Worlds,2693.5181241208393,0.62,0.4701,5.1813,7,2022-08-21,762.1503498459655,1005.1759559763848,8400.190614032974
